AIRLINE_ID,UNIQUE_CARRIER_ENTITY,ORIGIN,DEST,AIRCRAFT_TYPE
19554,9429D,LAX,FRA,821
19532,9427B,CDG,JFK,637
20233,9486G,EWR,ZRH,696
19977,10874,EWR,LHR,626
19977,10876,ORD,PUJ,888
19805,10050,DFW,SJD,699
19574,9118B,JFK,SAL,694
19977,10876,STI,EWR,888
19977,10876,IAH,LIM,626
19532,9427B,CDG,IAD,637
19790,10260,SDQ,ATL,888
19393,11033,MBJ,BWI,614
21351,71072,BJX,SMF,722
19682,9493K,LHR,MCO,687
19821,9679A,IST,ORD,637
19554,9429D,FRA,SFO,821
19531,9900A,LAX,YYZ,889
20416,16831,PUJ,FLL,722
19574,9118B,MGA,MIA,694
19821,9679A,IST,MIA,637
20416,16831,BAQ,FLL,694
19790,10260,SJD,ATL,888
19790,10260,ATL,SJD,888
19690,15375,SYD,HNL,696
19805,10049,LHR,CLT,627
19805,10050,CUN,ORD,614
19690,15375,HNL,SYD,696
19805,10050,SJO,DFW,614
20188,9368E,LIM,LAX,626
19790,10260,SJO,ATL,622
20409,16673,MDE,FLL,694
19790,10261,JNB,ATL,359
21351,71072,GDL,ORD,694
19790,10261,ATL,FRA,696
19805,10050,BZE,DFW,614
19547,9482B,MAD,SJU,696
19546,9439A,SEA,KEF,622
20409,16673,PUJ,FLL,694
20229,9900Y,YYC,PHX,838
19574,9118B,SAL,JFK,694
20229,9900Y,YYZ,MCO,614
21351,71072,FAT,GDL,694
20409,16673,GYE,JFK,721
20167,9316F,GRU,MIA,637
21351,71072,GDL,SEA,722
20409,16673,UVF,JFK,699
19540,9493E,LGW,TPA,819
19576,9469A,LIS,MIA,824
19574,9118B,SAL,IAD,694
21351,71072,GDL,SJC,722
19805,10050,DFW,CUN,699
19682,9493K,LHR,LAS,889
19821,9679A,DFW,IST,889
19805,10049,CLT,LHR,627
21351,71072,BJX,OAK,722
19682,9493K,JFK,MAN,687
20409,16673,JFK,STI,721
19532,9427B,IAD,CDG,637
19930,16031,LAX,GDL,888
21351,71072,SJC,GDL,722
19574,9118B,IAD,SAL,694
19977,10874,FRA,IAH,627
19821,9679A,JFK,IST,637
19551,9461A,AMS,LAX,837
19805,10050,GDL,DFW,614
20188,9368E,LIM,JFK,626
21351,71072,GDL,LAX,722
19977,10876,CUN,ORD,888
19551,9461A,AMS,JFK,627
21351,71072,MLM,OAK,722
19977,10876,EWR,STI,888
20229,9900Y,YYC,ATL,614
19790,10260,JFK,MEX,622
19558,9636A,MIA,TLV,889
19977,10876,CZM,IAH,614
21351,71072,MDW,DGO,722
19393,11033,MCO,MBJ,614
19540,9493E,TPA,LGW,819
19805,10050,MIA,POS,838
19547,9482B,MAD,BOS,687
20119,9482A,MAD,MIA,889
19546,9439A,KEF,SEA,622
21351,71072,GDL,PHX,722
20233,9486G,ZRH,ORD,696
19555,9467A,WAW,ORD,889
20167,9316F,MIA,GRU,637
19805,10050,CUN,MIA,614
19540,9493E,JFK,LHR,637
20229,9900Y,YYC,ATL,838
21351,71072,GDL,SJC,694
20409,16673,STI,JFK,721
19790,10260,ATL,GUA,622
19532,9427B,LAX,CDG,637
19623,9441B,ORD,DUB,696
19821,9679A,IST,JFK,637
20229,9900Y,YYC,LAX,614
20416,16831,FLL,PUJ,722
19623,9441B,BOS,DUB,696
19977,10876,LIM,IAH,626
20416,16831,FLL,MDE,722
20360,9469D,PDL,BOS,699
21351,71072,BJX,OAK,694
19805,10050,MIA,CTG,614
19555,9467A,WAW,MIA,887
21351,71072,LAS,GDL,722
19805,10049,DFW,LHR,627
19805,10050,MIA,PUJ,614
19534,9148B,MEX,LAX,889
20229,9900Y,YYZ,MCO,838
19805,10050,GRU,MIA,637
19623,9441B,DUB,JFK,696
21351,71072,LAX,OAX,722
21351,71072,GDL,LAX,694
19977,10874,IAD,LOS,887
19977,10874,EWR,ZRH,626
19790,10260,GUA,ATL,622
19961,9900C,YUL,FLL,699
19805,10050,SJD,DFW,699
19805,10050,MEX,DFW,614
19977,10874,JNB,EWR,889
19790,10260,ATL,SDQ,888
20409,16673,CUN,JFK,699
19551,9461A,JFK,AMS,627
19977,10874,LOS,IAD,887
21351,71072,MLM,SJC,722
19790,10260,GRU,ATL,687
19790,10261,LOS,ATL,696
19554,9429D,MIA,FRA,821
19805,10050,DFW,MEX,614
19539,9450A,FCO,JFK,696
19537,9327A,BOG,MCO,694
19805,10050,DFW,SJO,614
21567,71114,BRU,JFK,696
19558,9636A,EWR,TLV,889
19977,10876,PUJ,EWR,888
21351,71072,GDL,OAK,722
19623,9441B,DUB,EWR,696
19393,11033,PHX,PVR,612
21738,71173,BEG,JFK,696
19805,10050,LIM,MIA,721
19790,10260,JFK,STI,888
19554,9429D,SFO,MUC,359
21351,71072,MLM,LAX,722
19805,10050,DFW,GDL,614
19805,10050,SJO,MIA,614
19534,9148B,MEX,JFK,838
19537,9327A,BOG,FLL,694
19805,10050,CUN,MIA,838
19568,9639A,ORD,AMM,887
19805,10050,PUJ,MIA,614
21351,71072,LAX,AGU,722
19547,9482B,MAD,JFK,687
20409,16673,CTG,JFK,694
19790,10262,SEA,ICN,339
19540,9493E,LHR,LAX,637
21351,71072,LAX,MLM,722
21351,71072,GDL,MCO,722
20416,16831,SJO,FLL,699
19747,9591A,JFK,CAI,637
19574,9118B,LAX,SAL,694
21351,71072,GDL,FAT,722
19790,10261,ATL,AMS,687
20119,9482A,MIA,MAD,889
21351,71072,DGO,MDW,722
19805,10049,LHR,JFK,637
19977,10876,IAH,CUN,888
19574,9118B,SFO,SAL,694
21351,71072,BJX,LAX,722
19532,9427B,CDG,MIA,637
21107,71013,AUH,IAD,889
20409,16673,JFK,CTG,694
21351,71072,GDL,CLT,722
19977,10876,PVR,SFO,694
19977,10874,DEN,FRA,889
19805,10050,CUN,CLT,699
19554,9429D,FRA,LAX,821
19532,9427B,JFK,CDG,627
19790,10260,GUA,LAX,622
21351,71072,AGU,MDW,722
20409,16673,JFK,BGI,699
20080,9788A,TAS,JFK,887
20409,16673,JFK,SDQ,721
19977,10874,IAD,ACC,887
20233,9486G,ZRH,LAX,627
20409,16673,BOS,AUA,699
19977,10876,SAL,IAH,888
19977,10874,MAD,EWR,624
19977,10876,PTY,IAH,888
21351,71072,PDX,GDL,722
20409,16673,SDQ,JFK,721
19821,9679A,LAX,IST,637
20162,9823A,LAX,PPT,871
20233,9486G,JFK,ZRH,696
19534,9148B,LAX,MEX,889
19805,10050,MIA,CUN,614
19532,9427B,CDG,LAX,637
19977,10876,EWR,PUJ,888
19393,11033,PVR,DEN,612
19805,10050,MIA,MBJ,614
19805,10050,CUN,AUS,614
19930,16031,SJD,LAX,888
19393,11033,SJD,PHX,612
20233,9486G,BOS,ZRH,696
21351,71072,LAX,BJX,722
21351,71072,AGU,LAX,722
19682,9493K,JFK,LHR,836
20409,16673,BOS,SDQ,699
21351,71072,GDL,FAT,694
19821,9679A,ORD,IST,637
19558,9636A,TLV,MIA,889
19555,9467A,WAW,JFK,889
19805,10050,DFW,LIR,614
19551,9461A,LAX,AMS,837
19805,10050,AUA,PHL,699
19790,10260,NAS,ATL,888
19977,10876,PUJ,ORD,888
19574,9118B,SAL,ONT,694
20409,16673,FLL,PUJ,694
19623,9441B,DUB,ORD,696
21949,71197,JFK,NBO,887
20409,16673,JFK,AUA,699
19977,10876,CUN,SFO,888
19930,16031,SJD,SEA,888
21351,71072,GDL,PDX,722
19977,10874,EWR,MAD,624
19558,9636A,TLV,JFK,889
20416,16831,BOG,FLL,722
19540,9493E,LHR,JFK,627
19805,10050,DFW,SAL,614
19977,10874,IAH,FRA,627
19623,9441B,MCO,DUB,696
20188,9368E,LIM,MIA,626
19805,10050,MIA,SJO,614
20233,9486G,SFO,ZRH,627
19790,10260,MSP,CUN,888
